Datetime,Total Demand,RRP,Precipitation (mm),Air Temp (C),Humidity (%),Wind Speed (km/h)
2000/01/01 01:30,4599.70167,13.22,NR,13.7,65.0,0.0
2000/01/01 02:00,4478.99,12.9,NR,13.6,63.0,0.0
2000/01/01 02:30,4228.81,12.4,NR,13.3,68.0,0.0
2000/01/01 03:00,3989.1,9.45,NR,14.1,60.0,3.6
2000/01/01 03:30,3783.93167,4.82,NR,13.5,67.0,1.8
2000/01/01 04:00,3631.17167,4.74,NR,13.0,71.0,3.6
2000/01/01 04:30,3518.08167,4.6,NR,12.7,71.0,5.4
2000/01/01 05:00,3467.88,5.12,NR,12.3,74.0,3.6
2000/01/01 05:30,3393.39667,4.33,NR,12.4,72.0,5.4
2000/01/01 06:00,3376.70333,4.33,NR,12.2,74.0,1.8
2000/01/01 06:30,3429.2,4.38,NR,12.3,73.0,3.6
2000/01/01 07:00,3530.56833,9.08,NR,12.6,72.0,5.4
2000/01/01 07:30,3462.615,8.84,NR,13.1,70.0,7.6
2000/01/01 08:00,3494.16667,9.47,NR,14.2,65.0,7.6
2000/01/01 08:30,3561.20333,11.22,NR,14.9,63.0,5.4
2000/01/01 09:00,3626.165,11.76,NR,15.9,56.0,9.4
2000/01/01 09:30,3668.91167,10.79,0.0,16.8,53.0,9.4
2000/01/01 10:00,3739.81167,12.11,0.1,17.5,53.0,7.6
2000/01/01 10:30,3763.12,12.1,0.1,18.2,47.0,7.6
2000/01/01 11:00,3788.46,12.04,0.1,18.9,44.0,9.4
2000/01/01 11:30,3817.395,9.37,0.1,19.5,37.0,11.2
2000/01/01 12:00,3767.77,9.37,0.1,19.9,35.0,11.2
2000/01/01 12:30,3723.31167,8.24,0.1,20.1,33.0,11.2
2000/01/01 13:00,3718.15333,8.21,0.1,19.8,31.0,11.2
2000/01/01 13:30,3724.93667,8.22,0.1,19.7,38.0,11.2
2000/01/01 14:00,3718.43667,8.22,0.1,19.6,42.0,5.4
2000/01/01 14:30,3694.44167,6.12,0.1,19.2,51.0,3.6
2000/01/01 15:00,3707.04167,7.04,0.1,19.3,51.0,7.6
2000/01/01 15:30,3734.84,7.49,0.1,20.0,48.0,5.4
2000/01/01 16:00,3823.265,8.23,0.1,19.7,42.0,7.6
2000/01/01 16:30,3857.70333,8.21,0.1,20.9,39.0,7.6
2000/01/01 17:00,3957.37,10.85,0.1,21.1,37.0,7.6
2000/01/01 17:30,3938.97,9.89,0.1,20.3,44.0,7.6
2000/01/01 18:00,3939.78,11.64,0.1,19.8,48.0,1.8
2000/01/01 18:30,3931.095,11.64,0.1,20.7,46.0,1.8
2000/01/01 19:00,3910.88833,11.64,0.1,19.8,45.0,5.4
2000/01/01 19:30,3921.34,11.7,0.1,18.8,53.0,3.6
2000/01/01 20:00,4013.48,12.12,0.1,18.1,56.0,1.8
2000/01/01 20:30,4125.56333,12.22,0.1,17.8,57.0,3.6
2000/01/01 21:00,4132.46333,12.21,0.1,17.2,57.0,1.8
2000/01/01 21:30,4076.41833,12.23,0.1,16.6,60.0,1.8
2000/01/01 22:00,3962.30333,12.19,0.1,16.0,61.0,1.8
2000/01/01 22:30,3935.64,12.19,0.1,16.3,59.0,1.8
2000/01/01 23:00,3935.03333,12.17,0.1,16.0,62.0,1.8
2000/01/01 23:30,4355.33833,12.82,0.1,15.8,61.0,3.6
2000/01/02 00:00,4318.56167,12.34,0.1,15.6,62.0,1.8
2000/01/02 00:30,4176.185,10.09,0.1,15.4,62.0,5.4
2000/01/02 01:00,4051.70167,9.05,0.1,14.9,64.0,5.4
2000/01/02 01:30,4381.80167,11.31,0.1,14.5,65.0,3.6
2000/01/02 02:00,4266.53333,8.14,0.1,14.0,65.0,3.6
2000/01/02 02:30,4046.365,6.94,0.1,13.6,64.0,3.6
2000/01/02 03:00,3828.565,4.82,0.1,13.4,67.0,1.8
2000/01/02 03:30,3708.24167,4.38,0.1,13.1,67.0,1.8
2000/01/02 04:00,3599.26833,4.33,0.1,12.5,72.0,0.0
2000/01/02 04:30,3538.95333,3.11,0.1,12.9,68.0,1.8
2000/01/02 05:00,3502.02667,3.92,0.1,12.2,73.0,1.8
2000/01/02 05:30,3463.245,3.92,0.1,12.2,73.0,3.6
2000/01/02 06:00,3511.21167,4.33,0.1,11.9,75.0,1.8
2000/01/02 06:30,3587.63833,6.15,0.1,11.9,75.0,3.6
2000/01/02 07:00,3711.34667,8.22,0.1,12.2,74.0,1.8
2000/01/02 07:30,3707.33667,8.53,0.1,12.7,71.0,7.6
2000/01/02 08:00,3769.35333,11.53,0.1,14.1,65.0,5.4
2000/01/02 08:30,3894.96,12.07,0.1,15.2,63.0,3.6
2000/01/02 09:00,3955.60667,12.3,0.1,16.0,58.0,3.6
2000/01/02 09:30,4021.06167,12.51,0.0,17.4,53.0,5.4
2000/01/02 10:00,4013.11667,12.59,0.0,18.2,49.0,7.6
2000/01/02 10:30,4075.255,12.71,0.0,18.0,49.0,3.6
2000/01/02 11:00,4095.69667,12.82,0.0,19.3,45.0,3.6
2000/01/02 11:30,4100.285,12.82,0.0,20.0,45.0,7.6
2000/01/02 12:00,4096.62167,12.8,0.0,20.5,47.0,7.6
2000/01/02 12:30,4096.26333,12.62,0.0,20.5,47.0,5.4
2000/01/02 13:00,4091.11833,12.62,0.0,21.0,45.0,3.6
2000/01/02 13:30,4082.39167,12.61,0.0,22.0,44.0,5.4
2000/01/02 14:00,4063.87667,12.4,0.0,21.1,46.0,3.6
